iter	Passed	Remaining
1292	160515	211910
1293	160647	211796
1294	160774	211676
1295	160921	211582
1296	161041	211452
1297	161164	211326
1298	161281	211193
1299	161402	211064
1300	161525	210939
1301	161649	210814
1302	161772	210689
1303	161881	210544
1304	162009	210425
1305	162136	210305
1306	162274	210198
1307	162386	210059
1308	162500	209921
1309	162623	209796
1310	162749	209675
1311	162884	209564
1312	163000	209430
1313	163124	209305
1314	163239	209170
1315	163363	209045
1316	163499	208937
1317	163627	208817
1318	163739	208677
1319	163865	208556
1320	163989	208431
1321	164110	208303
1322	164239	208186
1323	164363	208060
1324	164486	207935
1325	164614	207816
1326	164743	207698
1327	164863	207569
1328	164985	207442
1329	165115	207325
1330	165233	207193
1331	165357	207068
1332	165502	206971
1333	165626	206846
1334	165752	206724
1335	165873	206597
1336	166011	206490
1337	166142	206374
1338	166262	206245
1339	166386	206120
1340	166513	205999
1341	166665	205910
1342	166782	205777
1343	166907	205653
1344	167025	205522
1345	167153	205402
1346	167283	205285
1347	167405	205158
1348	167532	205038
1349	167660	204918
1350	167780	204789
1351	167916	204679
1352	168029	204541
1353	168143	204404
1354	168282	204298
1355	168409	204177
1356	168534	204055
1357	168654	203925
1358	168782	203806
1359	168896	203669
1360	169021	203545
1361	169125	203397
1362	169248	203271
1363	169382	203160
1364	169502	203030
1365	169627	202907
1366	169753	202784
1367	169900	202687
1368	170033	202574
1369	170157	202449
1370	170277	202321
1371	170393	202187
1372	170519	202064
1373	170645	201943
1374	170767	201816
1375	170891	201691
1376	171022	201575
1377	171148	201452
1378	171258	201312
1379	171400	201209
1380	171555	201121
1381	171682	201000
1382	171809	200879
1383	171924	200743
1384	172052	200624
1385	172178	200501
1386	172317	200394
1387	172436	200264
1388	172556	200135
1389	172677	200007
1390	172803	199885
1391	172927	199761
1392	173055	199641
1393	173176	199513
1394	173288	199374
1395	173411	199249
1396	173532	199121
1397	173650	198989
1398	173763	198853
1399	173891	198732
1400	174014	198607
1401	174138	198483
1402	174262	198358
1403	174384	198232
1404	174505	198103
1405	174610	197958
1406	174736	197835
1407	174856	197706
1408	174976	197578
1409	175094	197446
1410	175220	197324
1411	175350	197207
1412	175466	197073
1413	175611	196972
1414	175739	196852
1415	175854	196719
1416	175975	196591
1417	176094	196461
1418	176216	196334
1419	176331	196199
1420	176450	196070
1421	176569	195939
1422	176697	195819
1423	176820	195694
1424	176936	195561
1425	177060	195436
1426	177209	195339
1427	177338	195221
1428	177448	195081
1429	177561	194945
1430	177685	194821
1431	177808	194694
1432	177942	194582
1433	178067	194458
1434	178194	194337
1435	178311	194205
1436	178433	194078
1437	178558	193955
1438	178673	193822
1439	178800	193700
1440	178930	193582
1441	179055	193459
1442	179207	193364
1443	179338	193248
1444	179465	193126
1445	179604	193019
1446	179741	192908
1447	179872	192791
1448	180019	192691
1449	180144	192568
1450	180257	192431
1451	180372	192298
1452	180515	192194
1453	180646	192076
1454	180777	191959
1455	180903	191836
1456	181020	191705
1457	181137	191572
1458	181264	191452
1459	181376	191315
1460	181498	191188
1461	181634	191076
1462	181766	190960
1463	181894	190840
1464	182018	190715
1465	182138	190587
1466	182263	190463
1467	182385	190336
1468	182516	190219
1469	182632	190087
1470	182760	189966
1471	182884	189841
1472	183032	189742
1473	183150	189612
1474	183278	189491
1475	183381	189344
1476	183503	189218
1477	183631	189097
1478	183752	188970
1479	183868	188837
1480	183992	188713
1481	184107	188579
1482	184230	188453
1483	184351	188326
1484	184464	188191
1485	184581	188059
1486	184708	187938
1487	184841	187822
1488	184959	187692
1489	185092	187577
1490	185204	187440
1491	185327	187314
1492	185451	187190
1493	185573	187063
1494	185702	186945
1495	185823	186817
1496	185948	186693
1497	186071	186568
1498	186198	186446
1499	186305	186305
